review,sentiment
The food was absolutely delicious and arrived hot,Positive
"Amazing service, delicious food, will order again",Positive
"Best biryani I have ever tasted, absolutely delicious",Positive
Delivery was fast and the food was fresh and hot,Positive
The burger was incredibly tasty and fresh,Positive
"Great experience, delicious pizza arrived hot and fresh",Positive
"Loved the pasta, delicious and perfectly cooked",Positive
"Excellent quality food, fresh and delicious, fast delivery",Positive
"The dessert was amazing and delicious, will order again",Positive
"Very happy, delicious taste and generous portion size",Positive
"The chicken was delicious, perfectly spiced and fresh",Positive
"Fantastic service, food was hot, fresh and delicious",Positive
"Really enjoyed the delicious meal, everything was fresh",Positive
"The order arrived hot and fresh, amazing delivery",Positive
"Superb delicious taste, food stayed hot and fresh",Positive
"Wonderful delicious experience, highly recommend, amazing",Positive
"Food was fresh, hot, and absolutely delicious today",Positive
"Amazing quality, fresh ingredients, delicious as always",Positive
"Delicious meal, fast delivery, amazing packaging quality",Positive
"The soup was hot, fresh and incredibly delicious",Positive
"Amazing flavors, delicious and fresh, loved every bite",Positive
"Delightful and delicious, fresh food delivered hot",Positive
"Great taste, amazing quality, delicious and fresh always",Positive
"The rice was fresh and delicious, amazing overall experience",Positive
"Delicious food, fresh ingredients, amazing fast delivery",Positive
"Perfectly delicious, hot and fresh, amazing every time",Positive
"Amazing delicious flavors, fresh food, quick delivery",Positive
"The noodles were delicious, fresh and served hot",Positive
"Delicious and amazing, fresh food, will definitely reorder",Positive
"Fresh, hot, and delicious meal, amazing service overall",Positive
The food arrived cold and tasted terrible,Negative
Delivery was late and the food was cold and stale,Negative
"Worst experience, the food was terrible and spoiled",Negative
"The pizza was cold, soggy and terrible",Negative
"Order was late, food arrived cold and terrible",Negative
"The pasta was bland, cold and terrible",Negative
"Really disappointed, food was cold and stale",Negative
"The chicken was raw and terrible, disgusting experience",Negative
"Food quality was terrible, cold and stale recently",Negative
"Delivery was late, food cold, terrible experience overall",Negative
"Portion size was tiny, food was cold and terrible",Negative
"The dessert was cold and terrible, inedible on arrival",Negative
"Terrible taste, food arrived cold, will never reorder",Negative
"The curry was terrible, cold and way too salty",Negative
"Order arrived late and cold, terrible packaging quality",Negative
"Awful experience, food was stale, cold and terrible",Negative
"Food was cold, stale and absolutely terrible today",Negative
"Terrible quality, stale ingredients, cold as always",Negative
"Terrible meal, late delivery, cold packaging quality",Negative
"The soup was cold, stale and incredibly terrible",Negative
"Terrible flavors, cold and stale, hated every bite",Negative
"Disappointing and terrible, stale food delivered cold",Negative
"Bad taste, terrible quality, cold and stale always",Negative
"The rice was stale and terrible, awful overall experience",Negative
"Terrible food, stale ingredients, awful late delivery",Negative
"Completely terrible, cold and stale, awful every time",Negative
"Terrible awful flavors, stale food, slow delivery",Negative
"The noodles were terrible, stale and served cold",Negative
"Terrible and awful, stale food, will never reorder",Negative
"Stale, cold, and terrible meal, awful service overall",Negative
Honestly one of the better meals I've had this month,Positive
"Not what I expected, but pleasantly surprised by the taste",Positive
Packaging could be better but the food itself was great,Positive
Quick delivery and the order was exactly right,Positive
"Not the best I've had, portion felt smaller than expected",Negative
"Expected more for the price, quite underwhelming overall",Negative
Order took forever and support was unhelpful,Negative
"Wouldn't recommend, quality has really dropped lately",Negative
