message,category
hey how are you doing today,personal
are we still meeting for lunch,personal
happy birthday have a great day,personal
call me when you are free,personal
group meeting scheduled for 5pm today,group
everyone please submit the report by friday,group
team lunch this saturday at noon,group
project deadline moved to next week,group
congratulations you have won a free prize claim now,spam
limited offer click link to win cash now,spam
urgent verify your account or it will be suspended,spam
you have been selected for a lottery winner prize,spam
